match_id,match_date,season,round,home_team,away_team,venue,home_score,away_score,target_home_win,target_draw,target_result,target_margin,home_win_rate_last5,away_win_rate_last5,home_avg_score_for_last5,away_avg_score_for_last5,home_avg_score_against_last5,away_avg_score_against_last5,home_win_streak,away_win_streak,home_rest_days,away_rest_days,home_ladder_points_prior,away_ladder_points_prior,home_ladder_position_prior,away_ladder_position_prior,ladder_points_diff,h2h_home_win_rate_prior,h2h_games_prior
10722,1983-03-26,1983,1,Carlton Blues,Richmond Tigers,Princes Park,136,76,1,0,W,60,,,,,,,0,0,,,0,0,,,0,,0
11905,1983-03-26,1983,1,Fitzroy Lions,hawthorn hawks,Junction Oval,112,131,0,0,L,-19,,,,,,,0,0,,,0,0,,,0,,0
12327,1983-03-26,1983,1,Geelong Cats,Western Bulldogs,Waverley Park,106,75,1,0,W,31,,,,,,,0,0,,,0,0,,,0,,0
13120,1983-03-26,1983,1,North Melbourne Kangaroos,st kilda saints,Aegis Park,100,87,1,0,W,13,,,,,,,0,0,,,0,0,,,0,,0
13514,1983-03-26,1983,1,Melbourne Demons,Collingwood Magpies,Melbourne Cricket Ground,125,135,0,0,L,-10,,,,,,,0,0,,,0,0,,,0,,0
14727,1983-03-27,1983,1,Sydney Swans,Essendon Bombers,Sydney Cricket Ground,111,110,1,0,W,1,,,,,,,0,0,,,0,0,,,0,,0
11121,1983-04-02,1983,2,Collingwood Magpies,Geelong Cats,Victoria Park,96,101,0,0,L,-5,1.0,1.0,135.0,106.0,125.0,75.0,1,1,7.0,7.0,4,4,5.0,2.0,0,,0
13973,1983-04-02,1983,2,Richmond Tigers,Melbourne Demons,Melbourne Cricket Ground,100,119,0,0,L,-19,0.0,0.0,76.0,125.0,136.0,135.0,0,0,7.0,7.0,0,0,12.0,8.0,0,,0
15421,1983-04-02,1983,2,Western Bulldogs,Carlton Blues,Western Oval,99,82,1,0,W,17,0.0,1.0,75.0,136.0,106.0,76.0,0,1,7.0,7.0,0,4,11.0,2.0,-4,,0
11505,1983-04-04,1983,2,Essendon Bombers,St Kilda Saints,Windy Hill,131,70,1,0,W,61,0.0,,110.0,,111.0,,0,0,8.0,,0,0,9.0,,0,,0
12721,1983-04-04,1983,2,Hawthorn Hawks,Sydney Swans,Princes Park,70,45,1,0,W,25,,1.0,,111.0,,110.0,0,1,,8.0,0,4,,8.0,-4,,0
13121,1983-04-04,1983,2,North Melbourne Kangaroos,fitzroy lions,Waverley Park,43,88,0,0,L,-45,1.0,,100.0,,87.0,,1,0,9.0,,4,0,6.0,,4,,0
10724,1983-04-09,1983,3,Carlton Blues,Collingwood Magpies,Waverley Park,97,87,1,0,W,10,0.5,0.5,109.0,115.5,87.5,113.0,0,0,7.0,7.0,4,4,5.0,8.0,0,,0
11907,1983-04-09,1983,3,Fitzroy Lions,Essendon Bombers,Junction Oval,97,56,1,0,W,41,0.0,0.5,112.0,120.5,131.0,90.5,0,1,14.0,5.0,0,4,13.0,5.0,-4,,0
12329,1983-04-09,1983,3,Geelong Cats,Richmond Tigers,GMHBA Stadium,94,46,1,0,W,48,1.0,0.0,103.5,88.0,85.5,127.5,2,0,7.0,7.0,8,0,1.0,14.0,8,,0
14349,1983-04-09,1983,3,St Kilda Saints,Hawthorn Hawks,Moorabbin Oval,42,171,0,0,L,-129,0.0,1.0,70.0,70.0,131.0,45.0,0,1,5.0,5.0,0,4,15.0,4.0,-4,,0
15422,1983-04-09,1983,3,Western Bulldogs,Melbourne Demons,Western Oval,111,79,1,0,W,32,0.5,0.5,87.0,122.0,94.0,117.5,1,1,7.0,7.0,4,4,10.0,8.0,0,,0
14729,1983-04-10,1983,3,Sydney Swans,north melbourne kangaroos,Sydney Cricket Ground,45,185,0,0,L,-140,0.5,,78.0,,90.0,,0,0,6.0,,4,0,11.0,,4,,0
11507,1983-04-16,1983,4,Essendon Bombers,Collingwood Magpies,Windy Hill,141,117,1,0,W,24,0.3333333333333333,0.3333333333333333,99.0,106.0,92.66666666666667,107.66666666666667,0,0,7.0,7.0,4,4,9.0,10.0,0,,0
11908,1983-04-16,1983,4,Fitzroy Lions,sydney swans,Junction Oval,125,52,1,0,W,73,0.5,,104.5,,93.5,,1,0,7.0,,4,0,9.0,,4,,0
12723,1983-04-16,1983,4,Hawthorn Hawks,Western Bulldogs,Princes Park,97,118,0,0,L,-21,1.0,0.6666666666666666,120.5,95.0,43.5,89.0,2,2,7.0,7.0,8,8,2.0,6.0,0,,0
