match_key,match_date,season,top_disposal_player_id,top_disposal_player_id_value,top_goal_kicker_player_id,top_goal_kicker_player_id_value,top_fantasy_player_id,top_fantasy_player_id_value
1983-03-27|1|Essendon Bombers|Sydney Swans,1983-03-27,1983,45852.0,10.0,45852.0,2.0,45852,52
1983-04-04|2|Essendon Bombers|St Kilda Saints,1983-04-04,1983,45852.0,8.0,45852.0,2.0,45852,47
1983-04-09|3|Essendon Bombers|Fitzroy Lions,1983-04-09,1983,,,,,45852,28
1983-04-16|4|Geelong Cats|St Kilda Saints,1983-04-16,1983,45679.0,5.0,45679.0,2.0,45679,34
1983-04-24|5|St Kilda Saints|Sydney Swans,1983-04-24,1983,45679.0,10.0,45679.0,1.0,45679,47
1983-04-25|5|Essendon Bombers|North Melbourne Kangaroos,1983-04-25,1983,45852.0,1.0,,,45852,4
1983-05-14|8|Essendon Bombers|Hawthorn Hawks,1983-05-14,1983,45852.0,11.0,45852.0,6.0,45852,92
1983-05-21|9|Essendon Bombers|Melbourne Demons,1983-05-21,1983,45852.0,4.0,,,45852,19
1983-06-11|12|Essendon Bombers|Sydney Swans,1983-06-11,1983,45852.0,2.0,,,45852,0
1983-06-11|12|North Melbourne Kangaroos|St Kilda Saints,1983-06-11,1983,45679.0,6.0,,,45679,14
1983-06-18|13|Essendon Bombers|St Kilda Saints,1983-06-18,1983,45852.0,12.0,45852.0,4.0,45852,67
1983-06-25|14|Hawthorn Hawks|St Kilda Saints,1983-06-25,1983,,,45679.0,2.0,45679,59
1983-07-02|15|Geelong Cats|St Kilda Saints,1983-07-02,1983,45679.0,8.0,45679.0,3.0,45679,45
1983-07-16|16|St Kilda Saints|Sydney Swans,1983-07-16,1983,45679.0,1.0,,,45679,-7
1983-07-30|18|Melbourne Demons|St Kilda Saints,1983-07-30,1983,45679.0,1.0,45679.0,1.0,45679,10
1983-08-06|19|Carlton Blues|St Kilda Saints,1983-08-06,1983,45679.0,13.0,,,45679,46
1983-08-06|19|Essendon Bombers|Hawthorn Hawks,1983-08-06,1983,45852.0,4.0,,,45852,20
1983-08-13|20|Richmond Tigers|St Kilda Saints,1983-08-13,1983,45679.0,16.0,45679.0,5.0,45679,97
1983-08-20|21|St Kilda Saints|Western Bulldogs,1983-08-20,1983,45679.0,13.0,45679.0,2.0,45679,79
1983-08-27|22|Collingwood Magpies|St Kilda Saints,1983-08-27,1983,45679.0,9.0,45679.0,1.0,45679,43
1984-03-31|1|Essendon Bombers|St Kilda Saints,1984-03-31,1984,45852.0,16.0,45679.0,7.0,45852,124
1984-04-07|2|Collingwood Magpies|St Kilda Saints,1984-04-07,1984,45679.0,5.0,45679.0,3.0,45679,35
1984-04-07|2|Essendon Bombers|Hawthorn Hawks,1984-04-07,1984,45852.0,18.0,45852.0,7.0,45852,139
1984-04-14|3|Collingwood Magpies|Essendon Bombers,1984-04-14,1984,45852.0,12.0,45852.0,8.0,45852,117
1984-04-14|3|St Kilda Saints|Sydney Swans,1984-04-14,1984,45679.0,9.0,45679.0,6.0,45679,74
1984-04-21|4|Essendon Bombers|Melbourne Demons,1984-04-21,1984,45852.0,16.0,45852.0,4.0,45852,119
1984-04-23|4|Hawthorn Hawks|St Kilda Saints,1984-04-23,1984,45679.0,9.0,45679.0,4.0,45679,67
1984-04-25|5|Essendon Bombers|Richmond Tigers,1984-04-25,1984,45852.0,11.0,45852.0,5.0,45852,91
1984-04-28|5|Geelong Cats|St Kilda Saints,1984-04-28,1984,,,45679.0,7.0,45679,98
1984-05-05|6|Carlton Blues|St Kilda Saints,1984-05-05,1984,45679.0,5.0,45679.0,2.0,45679,40
1984-05-05|6|Essendon Bombers|Fitzroy Lions,1984-05-05,1984,45852.0,14.0,45852.0,8.0,45852,122
1984-05-12|7|Essendon Bombers|Western Bulldogs,1984-05-12,1984,45852.0,8.0,45852.0,2.0,45852,56
1984-05-12|7|North Melbourne Kangaroos|St Kilda Saints,1984-05-12,1984,45679.0,14.0,45679.0,7.0,45679,116
1984-05-19|8|Essendon Bombers|Geelong Cats,1984-05-19,1984,45852.0,9.0,45852.0,2.0,45852,49
1984-05-19|8|St Kilda Saints|Western Bulldogs,1984-05-19,1984,45679.0,2.0,,,45679,1
1984-05-26|9|Carlton Blues|Essendon Bombers,1984-05-26,1984,45852.0,11.0,45852.0,7.0,45852,100
1984-06-02|10|Essendon Bombers|North Melbourne Kangaroos,1984-06-02,1984,45852.0,5.0,45852.0,1.0,45852,28
1984-06-02|10|Fitzroy Lions|St Kilda Saints,1984-06-02,1984,45679.0,12.0,45679.0,6.0,45679,87
1984-06-09|11|Essendon Bombers|Sydney Swans,1984-06-09,1984,45852.0,13.0,45852.0,7.0,45852,99
1984-06-09|11|Melbourne Demons|St Kilda Saints,1984-06-09,1984,45679.0,11.0,45679.0,3.0,45679,73
1984-06-16|12|Collingwood Magpies|St Kilda Saints,1984-06-16,1984,45679.0,4.0,45679.0,2.0,45679,30
1984-06-16|12|Essendon Bombers|Hawthorn Hawks,1984-06-16,1984,45852.0,13.0,45852.0,2.0,45852,68
1984-06-23|13|Collingwood Magpies|Essendon Bombers,1984-06-23,1984,45852.0,13.0,45852.0,3.0,45852,71
1984-06-24|13|St Kilda Saints|Sydney Swans,1984-06-24,1984,45679.0,11.0,45679.0,7.0,45679,85
1984-07-07|15|Geelong Cats|St Kilda Saints,1984-07-07,1984,45679.0,4.0,45679.0,3.0,45679,29
1984-07-21|16|Carlton Blues|St Kilda Saints,1984-07-21,1984,45679.0,6.0,45679.0,3.0,45679,39
1984-07-28|17|North Melbourne Kangaroos|St Kilda Saints,1984-07-28,1984,45679.0,6.0,45679.0,2.0,45679,36
1984-08-04|18|St Kilda Saints|Western Bulldogs,1984-08-04,1984,45679.0,9.0,45679.0,2.0,45679,44
